Errors,"Suggested Fixes",Description,"System ID",UPC,EAN,"Custom SKU","Manufacturer SKU",Vendor,"Vendor ID",Brand,"Default Cost","Default - Price","MSRP - Price","Online - Price","Matrix Description","Matrix Attribute Set","Attribute 1","Attribute 2","Attribute 3",Discountable,Taxable,"Tax Class","Item Type","Publish To eCom",Serialized,Category,"Subcategory 1","Subcategory 2","Subcategory 3","Subcategory 4","Clear Existing Tags","Add Tags",Note,"Display Note",Archive,"Featured Image",Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,"Shop Quantity on Hand","Shop Unit Cost","Shop Reorder Point","Shop Reorder Level"
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415924349,95030099,44200-3000,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone REBEL",Color/Size,Red,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1755.53,9008415924387,95030099,44200-3000,"Boards & More",,Duotone,1158.43,1755.53,1755.53,1755.53,"2020 Duotone REBEL",Color/Size,Red,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1861.93,9008415924394,95030099,44200-3000,"Boards & More",,Duotone,1228.92,1861.93,1861.93,1861.93,"2020 Duotone REBEL",Color/Size,Red,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1968.33,9008415924332,95030099,44200-3000,"Boards & More",,Duotone,1299.41,1968.33,1968.33,1968.33,"2020 Duotone REBEL",Color/Size,Red,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2061.43,9008415924301,95030099,44200-3000,"Boards & More",,Duotone,1360.59,2061.43,2061.43,2061.43,"2020 Duotone REBEL",Color/Size,Red,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2154.53,9008415924295,95030099,44200-3000,"Boards & More",,Duotone,1421.77,2154.53,2154.53,2154.53,"2020 Duotone REBEL",Color/Size,Red,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2247.63,9008415924363,95030099,44200-3000,"Boards & More",,Duotone,1482.95,2247.63,2247.63,2247.63,"2020 Duotone REBEL",Color/Size,Red,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2340.73,9008415924370,95030099,44200-3000,"Boards & More",,Duotone,1545.46,2340.73,2340.73,2340.73,"2020 Duotone REBEL",Color/Size,Red,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2447.13,9008415924356,95030099,44200-3000,"Boards & More",,Duotone,1614.62,2447.13,2447.13,2447.13,"2020 Duotone REBEL",Color/Size,Red,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2553.53,9008415924325,95030099,44200-3000,"Boards & More",,Duotone,1685.11,2553.53,2553.53,2553.53,"2020 Duotone REBEL",Color/Size,Red,14,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
